sex age studytime absences G1 G2 G3
F 18 2 6 5 6 6
F 17 2 4 5 5 6
F 15 2 10 7 8 10
F 15 3 2 15 14 15
F 16 2 4 6 10 10
M 16 2 10 15 15 15
M 16 2 0 12 12 11
F 17 2 6 6 5 6
M 15 2 0 16 18 19
M 15 2 0 14 15 15
F 15 2 0 10 8 9
F 15 3 4 10 12 12
M 15 1 2 14 14 14
M 15 2 2 10 10 11
M 15 3 0 14 16 16
F 16 1 4 14 14 14
F 16 3 6 13 14 14
F 16 2 4 8 10 10
M 17 1 16 6 5 5
M 16 1 4 8 10 10
M 15 2 0 13 14 15
M 15 1 0 12 15 15
M 16 2 2 15 15 16
M 16 2 0 13 13 12
F 15 3 2 10 9 8
F 16 1 14 6 9 8
M 15 1 2 12 12 11
M 15 1 4 15 16 15
M 16 2 4 11 11 11
M 16 2 16 10 12 11
M 15 2 0 9 11 12
M 15 2 0 17 16 17
M 15 2 0 17 16 16
M 15 2 0 8 10 12
M 16 1 0 12 14 15
F 15 1 0 8 7 6
M 15 3 2 15 16 18
M 16 3 7 15 16 15
F 15 3 2 12 12 11
F 15 1 8 14 13 13
F 16 2 25 7 10 11
M 15 1 8 12 12 12
M 15 2 2 19 18 18
M 15 1 0 8 8 11
F 16 2 14 10 10 9
F 15 2 8 8 8 6
F 16 2 12 11 12 11
M 16 4 4 19 19 20
M 15 2 2 15 15 14
F 15 2 2 7 7 7
F 16 2 2 12 13 13
F 15 2 2 11 13 13
M 15 1 6 11 11 10
F 15 1 0 8 10 11
F 15 1 6 10 13 13
F 16 2 8 8 9 10
F 15 2 0 14 15 15
M 15 2 4 14 15 15
M 15 2 2 9 10 9
F 16 2 2 15 16 16
F 16 2 6 10 11 11
F 16 1 6 10 8 11
F 16 2 4 8 10 9
F 16 3 2 10 9 9
F 15 2 0 10 10 10
F 16 2 2 16 15 15
M 15 4 4 13 13 12
F 16 4 4 7 7 6
F 15 2 2 8 9 8
F 15 4 12 16 16 16
M 16 4 0 13 15 15
M 15 4 0 10 10 10
F 15 2 2 8 6 5
M 16 1 2 12 12 14
F 16 2 54 11 12 11
M 15 2 6 9 9 10
M 15 4 8 11 11 10
F 16 4 0 11 11 11
M 17 1 2 8 8 10
F 16 2 12 5 5 5
M 15 1 2 10 12 12
M 15 3 4 11 10 11
F 15 2 10 7 6 6
M 15 2 4 15 15 15
F 15 2 2 9 10 10
F 15 2 6 7 9 8
F 16 2 4 8 7 6
F 15 3 4 13 14 14
M 16 2 12 11 10 10
M 16 2 18 8 6 7
F 16 3 0 7 7 8
F 15 1 4 16 17 18
F 16 2 4 7 6 6
F 16 2 0 11 10 10
M 15 4 6 11 13 14
F 15 4 2 7 10 10
M 16 1 2 11 15 15
F 16 2 2 8 9 10
F 16 1 6 11 14 14
F 16 3 0 7 9 8
M 16 1 14 7 7 5
M 16 3 0 16 17 17
M 15 1 4 10 13 14
F 15 2 26 7 6 6
M 15 2 0 16 18 18
F 15 4 10 10 11 11
F 15 4 8 7 8 8
M 16 3 2 16 18 18
M 15 4 6 10 13 13
F 16 3 4 14 15 16
M 15 1 6 18 19 19
F 16 3 0 7 10 10
F 16 2 6 10 13 13
M 15 1 10 18 19 19
M 15 2 8 9 9 9
M 16 2 2 15 15 16
M 15 2 2 11 13 14
M 16 1 0 13 14 13
M 17 2 20 9 7 8
M 15 1 6 14 13 13
F 15 2 2 16 15 15
M 15 4 6 16 14 15
F 16 2 2 13 13 13
M 16 1 18 14 11 13
F 16 2 0 8 7 8
M 15 1 0 13 13 12
F 15 2 0 7 10 11
F 19 2 2 7 8 9
M 18 1 0 7 4 0
M 16 1 8 18 18 18
F 15 3 0 12 0 0
F 15 1 0 8 0 0
F 17 1 12 10 13 12
F 16 1 16 12 11 11
M 15 2 0 9 0 0
F 15 3 0 11 0 0
